DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
10.1109/IV53921.2021.00013,,,,,,"A. Menin, and L. Cadorel, and A. Tettamanzi, and A. Giboin, and F. Gandon, and M. Winckler",,Henry,International Conference Information Visualisation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 11:15 AM",,,,,,,,Henry,IEEE,ARViz: Interactive Visualization of Association Rules for RDF Data Exploration,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582670,2021 25th International Conference Information Visualisation (IV),,,2021,,
10.1109/TVCG.2020.3028958,,,,,,"T. Xie, and Y. Ma, and H. Tong, and M. T. Thai, and R. Maciejewski",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:12 PM",,,,,,,,Henry,IEEE,Auditing the Sensitivity of Graph-based Ranking with Visual Analytics,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9216512,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/TVCG.2022.3153871,"Bending Angle, Branch Length, Branch Thickness",Edge,Edge Length,,Blood Vessels,"P. Hu, and S. Boorboor, and J. Marino, and A. E. Kaufman",hu_geometry-aware_2023,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,"2D, 3D",No,Expert Interviews,Velitchko,,Simple Graph,No,Viewpoint Optimization,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",,Heuristic (viewpoint optimization),Heuristic,Layout,Algorithm,,,Henry,IEEE,Geometry-Aware Planar Embedding of Treelike Structures,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9721643,IEEE Transactions on Visualization and Computer Graphics,3D Tree,Tree,2023,,
10.1109/TVCG.2018.2865151,,,,,,"T. Major, and R. C. Basole",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:40 PM",,,,,,,,Henry,IEEE,"Graphicle: Exploring Units, Networks, and Context in a Blended Visualization Approach",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440854,IEEE Transactions on Visualization and Computer Graphics,,,2019,,
10.1109/TVCG.2021.3114773,"Adjacency, Bandwidth, Linear Arrangement, Ordering, Ordering Distance, Profile",Drawing,,,Agnostic,"N. van Beusekom, and W. Meulemans, and B. Speckmann",van_beusekom_simultaneous_2022,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Velitchko,,Simple Graph,No,Ordering,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",3,Exact (Algorithm),Exact,Layout,Algorithm,,,Henry,IEEE,Simultaneous Matrix Orderings for Graph Collections,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552242,IEEE Transactions on Visualization and Computer Graphics,Matrix,Adjacency Matrix,2022,,
10.1109/IV56949.2022.00012,,,,,,"A. Halnaut, and R. Giot, and R. Bourqui, and D. Auber",,Diana,International Conference Information Visualisation,,,No,,No,,,,,No,,No,Diana Marin,"August 26, 2025 12:49 PM",,,,,,,,Sara,IEEE,VRGrid: Efficient Transformation of 2D Data into Pixel Grid Layout,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017678,2022 26th International Conference Information Visualisation (IV),,,2022,,
10.1109/TVCG.2018.2865158,,,,,,"D. Ren, and B. Lee, and M. Brehmer",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:38 PM",,,,,,,,"Joey, Natkamon",IEEE,Charticulator: Interactive Construction of Bespoke Chart Layouts,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440827,IEEE Transactions on Visualization and Computer Graphics,,,2019,,
10.1109/TVCG.2020.2995100,,,,,,"W. Yang, and X. Wang, and J. Lu, and W. Dou, and S. Liu",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:11 PM",,,,,,,,Natkamon,IEEE,Interactive Steering of Hierarchical Clustering,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9094378,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/TVCG.2020.3030440,"Community Structure, Structure Preservation",Drawing,,,Agnostic,"Z. Zhou, and C. Shi, and X. Shen, and L. Cai, and H. Wang, and Y. Liu, and Y. Zhao, and W. Chen",zhou_context-aware_2021,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Comparison",Velitchko,,Simple Graph,No,Neural Network,Yes,Velitchko Filipov,"October 16, 2025 11:29 AM",3,"Graph Representation Learning, Neural Network",Machine Learning,Layout,"Application, Comparison",,,Natkamon,IEEE,Context-aware Sampling of Large Networks via Graph Representation Learning,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224191,IEEE Transactions on Visualization and Computer Graphics,Straight-Line Node-Link Diagram,Node-Link,2021,8-26,2-16
10.1109/TVCG.2019.2953746,,,,,,"H. T. Nguyen, and A. Bhatele, and N. Jain, and S. P. Kesavan, and H. Bhatia, and T. Gamblin, and K. -L. Ma, and P. -T. Bremer",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 8:53 PM",,,,,,,,Natkamon,IEEE,Visualizing Hierarchical Performance Profiles of Parallel Codes Using CallFlow,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901998,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/TVCG.2019.2898186,,,,,,"Z. Liu, and S. H. Zhan, and T. Munzner",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:34 PM",,,,,,,,Natkamon,IEEE,Aggregated Dendrograms for Visual Comparison between Many Phylogenetic Trees,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8636969,IEEE Transactions on Visualization and Computer Graphics,,,2020,,
10.1109/TVCG.2018.2810919,,,,,,"C. P. Kappe, and M. Böttinger, and H. Leitte",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:36 PM",,,,,,,,Natkamon,IEEE,Exploring Variability within Ensembles of Decadal Climate Predictions,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305502,IEEE Transactions on Visualization and Computer Graphics,,,2019,,
10.1109/TVCG.2020.3030398,,,,,,"E. Cakmak, and U. Schlegel, and D. Jäckle, and D. Keim, and T. Schreck",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 8:53 PM",,,,,,,,Natkamon,IEEE,Multiscale Snapshots: Visual Analysis of Temporal Summaries in Dynamic Graphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222072,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/SC41404.2022.00017,,,,,,"K. Lakhotia, and M. Besta, and L. Monroe, and K. Isham, and P. Iff, and T. Hoefler, and F. Petrini",,Diana,"SC22: International Conference for High Performance Computing, Networking, Storage and Analysis",,,No,,No,,,,,No,,No,Diana Marin,"August 26, 2025 12:48 PM",,,,,,,,Sara,IEEE,PolarFly: A Cost-Effective and Flexible Low-Diameter Topology,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10046084,"SC22: International Conference for High Performance Computing, Networking, Storage and Analysis",,,2022,,
10.1109/TETC.2017.2671846,"Community Structure, Edge Overlaps, Edge-Community Occlusion, Node-edge occlusion, Number of Crossings","Drawing, Group","Edge Crossings, Overlap",,"Cyber-Physical-Social System, Smart Factories, Social Networks","C. -C. Lin, and D. -J. Deng, and S. -Y. Jhong",lin_triangular_2020,Henry,IEEE Transactions on Emerging Topics in Computing,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Case Study,Velitchko,,Simple Graph,No,"Layout Algorithm, Layout Refinement",Yes,Velitchko Filipov,"October 15, 2025 1:39 PM",2,"Exact (Algorithm), Heuristic (force-directed)","Exact, Heuristic","Drawing, Layout","Algorithm, Comparison",,,Henry,IEEE,A Triangular NodeTrix Visualization Interface for Overlapping Social Community Structures of Cyber-Physical-Social Systems in Smart Factories,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862764,IEEE Transactions on Emerging Topics in Computing,Hybrid,Hybrid,2020,12-467,11-79
10.1109/TSIPN.2021.3094900,,,,,,"J. Flossdorf, and C. Jentsch",,Henry,IEEE Transactions on Signal and Information Processing over Networks,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 3:14 PM",,,,,,,,Henry,IEEE,Change Detection in Dynamic Networks Using Network Characteristics,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477122,IEEE Transactions on Signal and Information Processing over Networks,,,2021,,
10.1109/TVCG.2021.3114759,,,,,,"B. Qu, and E. Zhang, and Y. Zhang",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,Yes,,,,,No,,No,Diana Marin,"August 21, 2025 3:12 PM",,,,,,,,Natkamon,IEEE,Automatic Polygon Layout for Primal-Dual Visualization of Hypergraphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552233,IEEE Transactions on Visualization and Computer Graphics,,,2022,,
10.1109/MCG.2019.2927556,Edge Crossings,Drawing,Edge Crossings,,Food–Energy–Water (FEW) Nexus,"B. Mathis, and Y. Ma, and M. Mancenido, and R. Maciejewski",mathis_exploring_2021,Henry,IEEE Computer Graphics and Applications,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Natkamon,"Directed, Layered",Flow Diagram,Yes,None,Yes,Diana Marin,"October 15, 2025 5:03 PM",26,None,,Layout,Evaluation,,,Henry,IEEE,Exploring the Design Space of Sankey Diagrams for the Food-Energy-Water Nexus,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8758151,IEEE Computer Graphics and Applications,Sankey,Flow Graph,2021,,
10.1109/TopoInVis57755.2022.00016,,,,,,"E. Nilsson, and J. Lukasczyk, and W. Engelke, and T. B. Masood, and G. Svensson, and R. Caballero, and C. Garth, and I. Hotz",,Diana,Topological Data Analysis and Visualization,,,No,,No,,,,,No,,No,Diana Marin,"August 21, 2025 3:01 PM",,,,,,,,Sara,IEEE,Exploring Cyclone Evolution with Hierarchical Features,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9975824,2022 Topological Data Analysis and Visualization (TopoInVis),,,2022,,
10.1109/SBCCI50935.2020.9189930,,,,,,"J. S. Domingues, and L. S. da Rosa, and F. de Souza Marques",,Henry,Symposium on Integrated Circuits and Systems Design,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 2:15 PM",,,,,,,,Sara,IEEE,A Straightforward Methodology for QCA Circuits Design,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9189930,2020 33rd Symposium on Integrated Circuits and Systems Design (SBCCI),,,2020,,
10.1109/ACCESS.2020.2983052,,,,,,"L. Luo, and Z. He, and Y. Lu, and J. Chen",,Joey,IEEE Access,,,No,,No,,,,,No,,No,Joey Eschner,"August 22, 2025 2:52 PM",,,,,,,,Henry,IEEE,Clarifying Origin-Destination Flows Using Force-Directed Edge Bundling Layout,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9046019,IEEE Access,,,2020,,
10.1109/IWBIS.2019.8935758,,,,,,"A. Alamsyah, and D. P. Ramadhani, and M. R. D. Putra, and F. T. Kristanti",,Henry,International Workshop on Big Data and Information Security,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 11:17 AM",,,,,,,,Sara,IEEE,Event Driven Motif Exploration of Dynamic Banking Transaction Network,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935758,2019 International Workshop on Big Data and Information Security (IWBIS),,,2019,,
10.1109/TVCG.2021.3135697,,,,,,"C. Walchshofer, and A. Hinterreiter, and K. Xu, and H. Stitz, and M. Streit",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 21, 2025 2:54 PM",,,,,,,,Natkamon,IEEE,Provectories: Embedding-Based Analysis of Interaction Provenance Data,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652041,IEEE Transactions on Visualization and Computer Graphics,,,2023,,
10.1109/RIVF.2019.8765697,,,,,,"R. Azzi, and S. Despres, and J. Nobecourt",,Henry,IEEE-RIVF International Conference on Computing and Communication Technologies,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 2:13 PM",,,,,,,,Henry,IEEE,MCVGraphviz : a web tool for knowledge dynamic visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765697,2019 IEEE-RIVF International Conference on Computing and Communication Technologies (RIVF),,,2019,,
10.1109/VISSOFT55257.2022.00022,,,,,,"D. Seifert, and M. Wan, and J. Hsu, and B. Yeh",,Diana,Working Conference on Software Visualization,,,No,,No,,,,,No,,No,Diana Marin,"August 21, 2025 3:01 PM",,,,,,,,Sara,IEEE,Dbux-PDG: An Interactive Program Dependency Graph for Data Structures and Algorithms,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978351,2022 Working Conference on Software Visualization (VISSOFT),,,2022,,
10.1109/IUCC65928.2024.00056,"Ordering, Patterns",Drawing,,,Agnostic,"R. Hao, and C. Cheng, and L. Xu, and Y. Zhang, and Q. Zhang, and Z. Yang, and J. Gao, and X. Cheng",,Diana,International Conference on Ubiquitous Computing and Communications,,,No,2D,No,"Case Study, Computational (GPU Memory Usage), Looking at Pictures",Velitchko,,Simple Graph,No,Ordering,No,Velitchko Filipov,"October 16, 2025 11:29 AM",8,Neural Network,Machine Learning,Layout,"Algorithm, Method",,,Henry,IEEE,A Novel Front-End Visual Graph Layout Scheme for Large-Scale Relational Data,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11049356,2024 International Conference on Ubiquitous Computing and Communications (IUCC),Matrix,,2024,,
10.1109/PacificVis60374.2024.00039,"Edge Crossings, Incidence Angle, Stress",Drawing,"Angular Resolution, Edge Crossings",,Agnostic,"M. Watanabe, and Y. Onoue",watanabe_cell_2024,Diana,IEEE Pacific Visualization Conference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),Velitchko,,,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",100,Exact (Algorithm),Exact,Layout,"Algorithm, Application",,,Henry,IEEE,Cell Size Optimization for Graph Drawing on Torus,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10541508,2024 IEEE 17th Pacific Visualization Conference (PacificVis),Straight-Line Node-Link Diagram,Node-Link,2024,12-?,8-1000
10.1109/TVCG.2024.3456349,Edge Crossings,"Drawing, Node",Edge Crossings,,"Agnostic, None","C. Wilson, and E. Puerta, and T. Crnovrsanin, and S. Di Bartolomeo, and C. Dunne",wilson_evaluating_2025,Sara,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Case Study,Velitchko,Layered,Layered (n-layers),No,Layout Refinement,Yes,Diana Marin,"October 15, 2025 5:29 PM",3,Exact (ILP),Exact,Layout,Evaluation,,,"Henry, Sara",IEEE,Evaluating and Extending Speedup Techniques for Optimal Crossing Minimization in Layered Graph Drawings,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678863,IEEE Transactions on Visualization and Computer Graphics,"Layered Graph, Node-Link Diagram",Node-Link,2025,333-581,279-511
10.1109/TVCG.2022.3229354,"Automorphism Faithfulness, Group Symmetry, Symmetry",Drawing,,,Agnostic,"A. Meidiana, and S. -H. Hong, and P. Eades, and D. Keim",meidiana_automorphism_2024,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Looking at Pictures",Velitchko,,Groups,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",10,Exact (Algorithm),Exact,Layout,"Aesthetic, Algorithm, Comparison, Evaluation",,,Natkamon,IEEE,Automorphism Faithfulness Metrics for Symmetric Graph Drawings,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9987696,IEEE Transactions on Visualization and Computer Graphics,Straight-Line Node-Link Diagram,Node-Link,2024,,
10.1109/PacificVis60374.2024.00022,"Angular resolution, Aspect Ratio, Crossing Number, Edge Crossings, Edge Length, Edge Orthogonality, Gabriel Ratio, Neighborhood Preservation, Node Resolution, Node Uniformity",Drawing,"Angular Resolution, Aspect Ratio, Edge Crossings, Edge Length",Crossings,Agnostic,"G. J. Mooney, and H. C. Purchase, and M. Wybrow, and S. G. Kobourov",mooney_multi-dimensional_2024,Diana,IEEE Pacific Visualization Conference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Looking at Pictures",Velitchko,,Simple Graph,Yes,Layout Algorithm,Yes,Velitchko Filipov,"October 16, 2025 11:24 AM",,"Dimensionality Reduction, Heuristic (Grid Layout), Heuristic (force-directed), Heuristic (sugiyama)","Heuristic, Simplification",Layout,"Comparison, Evaluation",,,Henry,IEEE,The Multi-Dimensional Landscape of Graph Drawing Metrics,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10541779,2024 IEEE 17th Pacific Visualization Conference (PacificVis),"Circular Layout, Node-Link Diagram, Radial",Node-Link,2024,,
10.1109/PacificVis64226.2025.00008,,,,,,"L. Dyken, and W. Usher, and S. Petruzza, and S. Sintos, and S. Kumar",,Diana,IEEE Pacific Visualization Conference,,,No,,No,,,,,No,,No,Diana Marin,"August 21, 2025 11:52 AM",,,,,,,,Henry,IEEE,Accelerating Web-Based Graph Drawing with Bottom-Up GPU Quadtree Construction,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11020994,2025 IEEE 18th Pacific Visualization Conference (PacificVis),,,2025,,
,"Escalators, Runways, Staircases",Drawing,,,Agnostic,"J. Fuchs, and A. Frings, and M. -V. Heinle, and D. A. Keim, and S. Di Bartolomeo",fuchs_quality_2025,Sara,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,Computational (Aesthetic),"Natkamon, Sara, Velitchko",,Simple Graph,No,"Layout Algorithm, Ordering",Yes,Henry Ehlers,"October 14, 2025 12:54 PM",11500,Heuristic (other),,Layout,"Algorithm, Comparison",,,"Henry, Sara",IEEE,Quality Metrics and Reordering Strategies for Revealing Patterns in BioFabric Visualizations,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670576,IEEE Transactions on Visualization and Computer Graphics,Biofabric,,2025,,10-110
10.1109/CISP-BMEI64163.2024.10906230,"Angular resolution, Cluster Overlap, Compactness, Edge Crossings, Neighborhood Preservation, Stress, Structure Preservation",Drawing,"Angular Resolution, Edge Crossings, Overlap",,Agnostic,"P. Chen, and Q. Zhang, and D. Yang, and J. Gou",chen_tgd_2024,Diana,"International Congress on Image and Signal Processing, BioMedical Engineering and Informatics",All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Looking at Pictures",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 16, 2025 11:29 AM",11534,"Graph Convolutional Network, Graph Embedding, Neural Network, Structural Deep Network Embedding",Machine Learning,Layout,"Algorithm, Comparison, Evaluation",,,Henry,IEEE,TGD: Topology-Enhanced Framework for Graph Drawing,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10906230,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",Straight-Line Node-Link Diagram,Node-Link,2024,,
